"customer_id","gender","seniorcitizen","partner","dependents","tenure_months","phoneservice","multiplelines","internetservice","onlinesecurity","onlinebackup","deviceprotection","techsupport","streamingtv","streamingmovies","contract","paperlessbilling","paymentmethod","monthly_charge","total_charge","churn_flag","txn_count","avg_txn_amount","total_revenue","first_txn_month","last_txn_month","months_recorded","avg_active_days","avg_sessions_per_day","avg_session_duration_min","avg_feature_usage_score","last_active_month","ticket_count","unresolved_ticket_count","unresolved_ticket_rate","avg_time_to_resolve_hours","last_ticket_month"
"8665-UTDHZ","Male","0","Yes","Yes","1","No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check","30.2","30.2","1","2","29.435000000000002","58.870000000000005","1","1","1","11.0","1.45","11.1","0.69","1","3","0","0.0","22.3","1"
"5248-YGIJN","Male","0","Yes","No","72","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)","90.25","6369.45","0","5","108.43999999999998","542.1999999999999","1","71","8","17.25","2.82625","13.8375","0.66","70","1","0","0.0","4.5","6"
"8773-HHUOZ","Female","0","No","Yes","17","Yes","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Mailed check","64.7","1093.1","1","2","74.88","149.76","3","12","10","8.7","1.5239999999999998","13.410000000000002","0.525","17","6","1","0.16666666666666666","46.383333333333326","17"
"3841-NFECX","Female","1","Yes","No","71","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)","96.35","6766.95","0","8","106.59","852.72","2","67","3","18.333333333333332","2.7300000000000004","16.233333333333334","0.4933333333333334","65","3","1","0.3333333333333333","41.233333333333334","47"
"4929-XIHVW","Male","1","Yes","No","2","Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)","95.5","181.65","0","5","99.16799999999999","495.84","1","2","1","27.0","3.85","13.0","0.42","1","1","0","0.0","54.4","2"
"6827-IEAUQ","Female","0","Yes","Yes","27","Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","One year","No","Mailed check","66.15","1874.45","0","1","79.12","79.12","18","18","8","23.125","2.66125","11.8625","0.5650000000000001","24","2","0","0.0","37.35","19"
"7310-EGVHZ","Male","0","No","No","1","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Bank transfer (automatic)","20.2","20.2","0","1","16.18","16.18","1","1","1","19.0","1.89","6.4","0.78","1","2","0","0.0","27.4","1"
"3413-BMNZE","Male","1","No","No","1","Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)","45.25","45.25","0","10","53.342","533.42","1","1","1","25.0","2.66","20.6","0.22","1","2","0","0.0","35.65","1"
"6234-RAAPL","Female","0","Yes","Yes","72","Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No","Two year","No","Bank transfer (automatic)","99.9","7251.7","0","4","121.31","485.24","6","50","9","16.666666666666668","3.0244444444444447","15.0","0.6199999999999999","68","1","0","0.0","64.3","40"
"6047-YHPVI","Male","0","No","No","5","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check","69.7","316.9","1","0","0.0","0.0",,,"5","10.2","1.28","17.56","0.514","5","2","2","1.0","22.4","4"
"6572-ADKRS","Female","0","No","No","46","Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)","74.8","3548.3","0","7","84.5757142857143","592.0300000000001","7","41","7","18.285714285714285","2.9171428571428573","18.142857142857142","0.5357142857142857","40","2","0","0.0","26.7","39"
"5380-WJKOV","Male","0","No","No","34","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check","106.35","3549.25","1","4","113.645","454.58","1","22","12","7.333333333333333","1.0891666666666666","14.916666666666666","0.7066666666666669","33","7","3","0.42857142857142855","45.24285714285714","29"
"8168-UQWWF","Female","0","No","No","11","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)","97.85","1105.4","1","1","81.37","81.37","7","7","6","7.5","1.4516666666666669","13.500000000000002","0.5499999999999999","11","1","1","1.0","16.1","11"
"8865-TNMNX","Male","0","Yes","Yes","10","Yes","No","DSL","No","Yes","No","No","No","No","One year","No","Mailed check","49.55","475.7","0","3","56.80666666666667","170.42000000000002","2","10","8","19.0","3.0175","14.637500000000001","0.62125","10","3","1","0.3333333333333333","21.53333333333333","6"
"9489-DEDVP","Female","0","Yes","Yes","70","Yes","Yes","DSL","Yes","Yes","No","No","Yes","No","Two year","Yes","Credit card (automatic)","69.2","4872.35","0","3","63.54333333333333","190.63","32","49","3","13.666666666666666","2.61","18.866666666666667","0.41","61","1","0","0.0","16.4","4"
"9867-JCZSP","Female","0","Yes","Yes","17","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check","20.75","418.25","0","5","27.152000000000005","135.76000000000002","6","17","12","16.833333333333332","2.9333333333333336","18.099999999999998","0.5916666666666667","16","1","1","1.0","43.5","7"
"4671-VJLCL","Female","0","No","No","63","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","Yes","Credit card (automatic)","79.85","4861.45","0","4","88.71","354.84","36","46","3","10.666666666666666","3.3666666666666667","12.433333333333332","0.52","34","2","0","0.0","14.25","49"
"4080-IIARD","Female","0","Yes","No","13","Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","No","Month-to-month","Yes","Electronic check","76.2","981.45","0","4","93.7775","375.11","1","9","9","17.666666666666668","2.538888888888889","15.666666666666666","0.5066666666666666","12","2","0","0.0","45.3","7"
"3714-NTNFO","Female","0","No","No","49","Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check","84.5","3906.7","0","3","81.03666666666666","243.10999999999999","3","35","12","20.416666666666668","2.6175","15.725","0.5725","45","3","1","0.3333333333333333","32.9","36"
"5948-UJZLF","Male","0","No","No","2","Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Mailed check","49.25","97.0","0","7","58.83428571428572","411.84000000000003","1","2","2","21.5","2.3499999999999996","13.15","0.815","2","1","0","0.0","41.6","1"
"7760-OYPDY","Female","0","No","No","2","Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check","80.65","144.15","1","2","93.35","186.7","1","2","1","13.0","1.66","17.5","0.73","2","1","1","1.0","39.3","1"
"7639-LIAYI","Male","0","No","No","52","Yes","Yes","DSL","Yes","No","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)","79.75","4217.8","0","8","83.27375","666.19","19","51","10","19.5","2.54","16.27","0.649","50","3","0","0.0","24.666666666666668","50"
"2954-PIBKO","Female","0","Yes","Yes","69","Yes","Yes","DSL","Yes","No","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)","64.15","4254.1","0","9","72.92111111111112","656.2900000000001","3","67","7","20.142857142857142","2.9085714285714284","16.657142857142855","0.6557142857142857","53","2","1","0.5","70.25","29"
"8012-SOUDQ","Female","1","No","No","43","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check","90.25","3838.75","0","7","98.49285714285715","689.45","3","32","3","21.333333333333332","2.5366666666666666","15.433333333333332","0.3133333333333333","34","5","0","0.0","37.339999999999996","26"
"9420-LOJKX","Female","0","No","No","15","Yes","No","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)","99.1","1426.4","1","2","117.305","234.61","4","7","11","9.636363636363637","1.0609090909090908","13.2","0.5109090909090909","15","2","1","0.5","45.25","12"
"6575-SUVOI","Female","1","Yes","No","25","Yes","Yes","DSL","Yes","No","No","Yes","Yes","No","Month-to-month","Yes","Credit card (automatic)","69.5","1752.65","0","6","71.31333333333333","427.88","2","23","6","20.833333333333332","2.2533333333333334","13.800000000000002","0.5733333333333334","25","1","1","1.0","35.6","16"
"7495-OOKFY","Female","1","Yes","No","8","Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)","80.65","633.3","1","0","0.0","0.0",,,"6","9.166666666666666","1.3566666666666667","18.349999999999998","0.7433333333333333","8","4","2","0.5","34.300000000000004","8"
"4667-QONEA","Female","1","Yes","Yes","60","Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes","One year","Yes","Credit card (automatic)","74.85","4456.35","0","6","76.29833333333333","457.79","7","47","5","18.4","2.928","13.559999999999999","0.378","57","2","1","0.5","21.9","34"
"1658-BYGOY","Male","1","No","No","18","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check","95.45","1752.55","1","3","113.25","339.75","3","15","9","9.555555555555555","1.078888888888889","15.122222222222225","0.6977777777777778","18","4","2","0.5","53.1","16"
"8769-KKTPH","Female","0","Yes","Yes","63","Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","One year","Yes","Credit card (automatic)","99.65","6311.2","0","6","111.78333333333332","670.6999999999999","6","58","8","20.25","2.5075000000000003","14.5","0.51875","46","2","1","0.5","24.3","40"
"5067-XJQFU","Male","1","Yes","Yes","66","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Electronic check","108.45","7076.35","0","3","126.29333333333334","378.88","29","66","4","19.5","3.0200000000000005","13.05","0.5425","45","3","0","0.0","58.76666666666667","35"
"3957-SQXML","Female","0","Yes","Yes","34","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)","24.95","894.3","0","4","24.24","96.96","21","34","9","14.222222222222221","2.658888888888889","16.499999999999996","0.5566666666666666","33","4","0","0.0","25.999999999999996","34"
"5954-BDFSG","Female","0","No","No","72","Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)","107.5","7853.7","0","3","105.5","316.5","9","37","12","17.833333333333332","2.7424999999999997","15.191666666666668","0.5991666666666666","67","3","1","0.3333333333333333","34.63333333333333","60"
"0434-CSFON","Female","0","Yes","No","47","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check","100.5","4707.1","0","5","115.04400000000001","575.22","12","47","12","19.916666666666668","2.5416666666666665","14.516666666666666","0.5933333333333334","45","1","0","0.0","54.4","29"
"1215-FIGMP","Male","0","No","No","60","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)","89.9","5450.7","0","4","103.5325","414.13","18","52","5","19.2","3.2439999999999998","17.340000000000003","0.612","59","1","0","0.0","26.9","22"
"0526-SXDJP","Male","0","Yes","No","72","No","No phone service","DSL","Yes","Yes","Yes","No","No","No","Two year","No","Bank transfer (automatic)","42.1","2962.0","0","2","37.975","75.95","46","64","8","20.0","2.84125","17.825000000000003","0.54125","64","3","1","0.3333333333333333","32.733333333333334","50"
"0557-ASKVU","Female","0","Yes","Yes","18","Yes","No","DSL","No","No","Yes","Yes","No","No","One year","Yes","Credit card (automatic)","54.4","957.1","0","3","64.42333333333333","193.26999999999998","3","15","10","18.3","2.48","13.059999999999999","0.6129999999999999","18","1","0","0.0","12.4","16"
"5698-BQJOH","Female","0","No","No","9","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check","94.4","857.25","1","2","107.945","215.89","1","6","5","9.0","1.376","16.6","0.674","7","3","1","0.3333333333333333","25.066666666666666","6"
"5122-CYFXA","Female","0","No","No","3","Yes","No","DSL","No","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check","75.3","244.1","0","6","78.66333333333334","471.98","1","3","3","22.333333333333332","2.6266666666666665","11.466666666666669","0.7733333333333334","3","3","0","0.0","28.566666666666666","3"
"8627-ZYGSZ","Male","0","Yes","No","47","Yes","Yes","Fiber optic","No","Yes","No","No","No","No","One year","Yes","Electronic check","78.9","3650.35","0","2","97.16","194.32","21","34","3","20.333333333333332","2.5866666666666664","20.3","0.4066666666666667","12","3","1","0.3333333333333333","31.833333333333332","9"
"3410-YOQBQ","Female","0","No","No","31","Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check","79.2","2497.2","0","6","94.205","565.23","3","31","3","19.666666666666668","2.936666666666667","19.76666666666667","0.5299999999999999","24","3","1","0.3333333333333333","48.93333333333334","29"
"3170-NMYVV","Female","0","Yes","Yes","50","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)","20.15","930.9","0","8","22.23375","177.87","11","45","11","19.09090909090909","2.916363636363636","15.781818181818183","0.6681818181818181","48","4","2","0.5","35.825","44"
"7410-OIEDU","Male","0","No","No","10","Yes","No","Fiber optic","Yes","No","Yes","No","No","No","Month-to-month","Yes","Mailed check","79.85","887.35","0","3","81.84666666666668","245.54000000000002","5","8","4","16.75","3.2675","21.2","0.435","10","2","0","0.0","30.6","10"
"2273-QCKXA","Male","0","No","No","1","Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Mailed check","49.05","49.05","0","7","50.85142857142858","355.96000000000004","1","1","1","11.0","3.65","16.6","0.5","1","0","0","0.0","0.0",
"0731-EBJQB","Female","0","Yes","Yes","52","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Electronic check","20.4","1090.65","0","9","21.336666666666662","192.02999999999997","4","45","7","19.0","3.0485714285714285","13.714285714285714","0.47714285714285715","35","4","1","0.25","39.675000000000004","45"
"1891-QRQSA","Male","1","Yes","Yes","64","Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)","111.6","7099.0","0","5","118.86800000000001","594.34","8","59","3","15.666666666666666","3.28","18.633333333333336","0.5866666666666666","46","2","0","0.0","56.9","53"
"8028-PNXHQ","Male","0","Yes","Yes","62","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)","24.25","1424.6","0","5","28.212","141.06","3","41","11","16.727272727272727","2.480909090909091","13.481818181818182","0.6354545454545456","62","2","0","0.0","30.95","46"
"5630-AHZIL","Female","0","No","Yes","3","Yes","No","DSL","Yes","No","No","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)","64.5","177.4","0","4","70.4625","281.85","1","1","3","20.333333333333332","2.1866666666666665","15.366666666666665","0.73","3","2","0","0.0","23.700000000000003","3"
"2673-CXQEU","Female","1","No","No","56","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","No","Electronic check","110.5","6139.5","0","3","112.47666666666667","337.43","9","45","11","15.636363636363637","2.5718181818181813","16.018181818181816","0.7418181818181818","42","2","1","0.5","41.35","49"
"6416-JNVRK","Female","0","No","No","46","Yes","No","DSL","No","No","No","No","No","Yes","One year","No","Credit card (automatic)","55.65","2688.85","0","4","62.870000000000005","251.48000000000002","8","42","11","16.818181818181817","2.7345454545454544","15.718181818181819","0.7027272727272728","42","3","0","0.0","36.96666666666666","44"
"5590-ZSKRV","Female","0","Yes","Yes","8","Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","No","Mailed check","54.65","482.25","0","2","72.545","145.09","5","6","5","19.4","2.4560000000000004","14.820000000000002","0.6","8","2","1","0.5","36.15","3"
"0191-ZHSKZ","Male","1","No","No","30","Yes","No","DSL","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check","74.75","2111.3","0","5","77.42999999999999","387.15","3","30","4","18.5","2.98","16.35","0.76","26","3","0","0.0","45.833333333333336","29"
"3887-PBQAO","Female","0","Yes","Yes","45","Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Credit card (automatic)","25.9","1216.6","0","4","30.355000000000004","121.42000000000002","20","44","4","16.25","3.3525","15.975000000000001","0.79","42","1","0","0.0","71.1","29"
"5919-TMRGD","Female","0","No","Yes","1","Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check","79.35","79.35","1","3","90.77666666666666","272.33","1","1","1","3.0","0.78","7.8","0.82","1","1","0","0.0","13.0","1"
"8108-UXRQN","Female","0","Yes","Yes","11","No","No phone service","DSL","Yes","No","No","No","Yes","Yes","Month-to-month","No","Electronic check","50.55","565.35","0","5","53.742000000000004","268.71000000000004","1","11","11","20.636363636363637","2.8536363636363635","14.572727272727274","0.5827272727272728","11","2","0","0.0","12.6","8"
"9191-MYQKX","Female","0","Yes","No","7","Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","75.15","496.9","1","2","94.33500000000001","188.67000000000002","5","5","6","9.0","1.2716666666666667","15.533333333333331","0.5816666666666667","7","5","2","0.4","41.08","6"
"9919-YLNNG","Female","0","No","No","42","Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)","103.8","4327.5","0","7","116.57142857142857","816.0","5","42","4","16.75","2.0949999999999998","19.450000000000003","0.6875","31","2","2","1.0","18.299999999999997","12"
"0318-ZOPWS","Female","0","Yes","No","49","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)","20.15","973.35","0","7","21.148571428571433","148.04000000000002","20","49","7","15.571428571428571","3.0742857142857143","15.87142857142857","0.6414285714285715","39","1","0","0.0","29.0","41"
"4445-ZJNMU","Male","0","No","No","9","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)","99.3","918.75","0","4","113.80499999999999","455.21999999999997","1","8","4","19.75","2.5175","16.3","0.6075","7","1","0","0.0","44.8","7"
"4808-YNLEU","Female","0","Yes","No","35","Yes","No","DSL","Yes","No","No","No","Yes","No","One year","Yes","Bank transfer (automatic)","62.15","2215.45","0","5","72.256","361.28000000000003","2","32","4","17.0","3.1149999999999998","15.175","0.5125","30","2","1","0.5","8.149999999999999","32"
"1862-QRWPE","Female","0","Yes","Yes","48","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)","20.65","1057.0","0","4","24.072499999999998","96.28999999999999","14","42","3","15.0","2.7099999999999995","12.299999999999999","0.8866666666666667","24","1","1","1.0","47.1","5"
"2796-NNUFI","Female","0","Yes","Yes","46","Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check","19.95","927.1","0","8","23.4125","187.3","4","39","4","15.25","3.09","16.700000000000003","0.8375","23","3","0","0.0","30.100000000000005","20"
"3016-KSVCP","Male","0","Yes","No","29","No","No phone service","DSL","No","No","No","No","Yes","No","Month-to-month","No","Mailed check","33.75","1009.25","0","3","33.28","99.84","7","19","7","18.142857142857142","2.775714285714286","12.8","0.7471428571428571","28","2","0","0.0","21.75","21"
"4767-HZZHQ","Male","0","Yes","Yes","30","Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","No","Bank transfer (automatic)","82.05","2570.2","0","9","89.08222222222224","801.7400000000001","3","29","8","16.0","2.7624999999999997","14.4375","0.6937500000000001","24","2","0","0.0","53.8","22"
"2424-WVHPL","Male","1","No","No","1","Yes","No","Fiber optic","No","No","No","Yes","No","No","Month-to-month","No","Electronic check","74.7","74.7","0","7","71.78","502.46","1","1","1","13.0","2.51","25.0","0.64","1","1","1","1.0","65.1","1"
