customer_id,churn_flag,predicted_churn_proba,predicted_ltv,segment_id,tenure_months,monthly_charge,ticket_count,unresolved_ticket_count,avg_feature_usage_score,contract,paymentmethod
5248-YGIJN,0,0.00014379018673786067,627688.75,3,72,90.25,1,0,0.66,Two year,Credit card (automatic)
8773-HHUOZ,1,0.9997842903719671,64.7,0,17,64.7,6,1,0.525,Month-to-month,Mailed check
3841-NFECX,0,0.00018170670502769455,530214.0499999999,1,71,96.35,3,1,0.4933333333333334,Two year,Credit card (automatic)
4929-XIHVW,0,0.00014379018673786067,664202.5,3,2,95.5,1,0,0.42,Month-to-month,Credit card (automatic)
6827-IEAUQ,0,0.000195159391055805,338952.60000000003,0,27,66.15,2,0,0.5650000000000001,One year,Mailed check
7310-EGVHZ,0,0.027198426373536543,747.4,0,1,20.2,2,0,0.78,Month-to-month,Bank transfer (automatic)
3413-BMNZE,0,0.0003014275330226074,150139.5,3,1,45.25,2,0,0.22,Month-to-month,Bank transfer (automatic)
6234-RAAPL,0,0.00014379018673786067,694804.5,3,72,99.9,1,0,0.6199999999999999,Two year,Bank transfer (automatic)
6047-YHPVI,1,0.9989492108356192,69.7,0,5,69.7,2,2,0.514,Month-to-month,Electronic check
6572-ADKRS,0,0.00014379018673786067,520234.0,3,46,74.8,2,0,0.5357142857142857,Month-to-month,Credit card (automatic)
5380-WJKOV,1,0.9996846905260334,106.35,3,34,106.35,7,3,0.7066666666666669,Month-to-month,Electronic check
8168-UQWWF,1,0.9988913408615654,97.85,0,11,97.85,1,1,0.5499999999999999,Month-to-month,Bank transfer (automatic)
8865-TNMNX,0,0.00018170670502769455,272673.64999999997,0,10,49.55,3,1,0.62125,One year,Mailed check
9489-DEDVP,0,0.0006867146061175078,100755.2,0,70,69.2,1,0,0.41,Two year,Credit card (automatic)
9867-JCZSP,0,0.00014379018673786067,144316.25,0,17,20.75,1,1,0.5916666666666667,One year,Mailed check
4671-VJLCL,0,0.0012727183416843025,62762.1,2,63,79.85,2,0,0.52,Two year,Credit card (automatic)
4080-IIARD,0,0.00014379018673786067,529971.0,2,13,76.2,2,0,0.5066666666666666,Month-to-month,Electronic check
3714-NTNFO,0,0.00018170670502769455,465003.5,2,49,84.5,3,1,0.5725,Month-to-month,Electronic check
5948-UJZLF,0,0.00014379018673786067,342533.75,3,2,49.25,1,0,0.815,Month-to-month,Mailed check
7760-OYPDY,1,0.96493263087993,80.65,0,2,80.65,1,1,0.73,Month-to-month,Electronic check
7639-LIAYI,0,0.00018170670502769455,438864.25,3,52,79.75,3,0,0.649,Two year,Credit card (automatic)
2954-PIBKO,0,0.00014379018673786067,446163.25000000006,3,69,64.15,2,1,0.6557142857142857,Two year,Credit card (automatic)
8012-SOUDQ,0,0.00018170670502769455,496645.75,1,43,90.25,5,0,0.3133333333333333,Month-to-month,Electronic check
9420-LOJKX,1,0.9993679246464245,99.1,2,15,99.1,2,1,0.5109090909090909,Month-to-month,Credit card (automatic)
6575-SUVOI,0,0.00014379018673786067,483372.5,3,25,69.5,1,1,0.5733333333333334,Month-to-month,Credit card (automatic)
7495-OOKFY,1,0.999779557049278,80.65,0,8,80.65,4,2,0.7433333333333333,Month-to-month,Credit card (automatic)
4667-QONEA,0,0.00014379018673786067,520581.74999999994,3,60,74.85,2,1,0.378,One year,Credit card (automatic)
1658-BYGOY,1,0.9996846905260334,95.45,2,18,95.45,4,2,0.6977777777777778,Month-to-month,Electronic check
8769-KKTPH,0,0.00014379018673786067,693065.75,3,63,99.65,2,1,0.51875,One year,Credit card (automatic)
5067-XJQFU,0,0.00018170670502769455,596800.35,2,66,108.45,3,0,0.5425,One year,Electronic check
3957-SQXML,0,0.00018170670502769455,137299.85,0,34,24.95,4,0,0.5566666666666666,Two year,Credit card (automatic)
5954-BDFSG,0,0.00018170670502769455,591572.5,2,72,107.5,3,1,0.5991666666666666,Two year,Credit card (automatic)
0434-CSFON,0,0.00014379018673786067,698977.5,3,47,100.5,1,0,0.5933333333333334,Month-to-month,Electronic check
1215-FIGMP,0,0.00014379018673786067,625254.5,3,60,89.9,1,0,0.612,Month-to-month,Bank transfer (automatic)
0526-SXDJP,0,0.00022685966992171672,185576.80000000002,0,72,42.1,3,1,0.54125,Two year,Bank transfer (automatic)
0557-ASKVU,0,0.00014379018673786067,378352.0,0,18,54.4,1,0,0.6129999999999999,One year,Credit card (automatic)
5698-BQJOH,1,0.9997628302629658,94.4,2,9,94.4,3,1,0.674,Month-to-month,Electronic check
5122-CYFXA,0,0.00018170670502769455,414375.89999999997,3,3,75.3,3,0,0.7733333333333334,Month-to-month,Electronic check
8627-ZYGSZ,0,0.00022685966992171672,347791.2,0,47,78.9,3,1,0.4066666666666667,One year,Electronic check
3410-YOQBQ,0,0.00018170670502769455,435837.60000000003,3,31,79.2,3,1,0.5299999999999999,Two year,Mailed check
3170-NMYVV,0,0.00018170670502769455,110885.45,0,50,20.15,4,2,0.6681818181818181,Two year,Bank transfer (automatic)
7410-OIEDU,0,0.00014379018673786067,555356.75,2,10,79.85,2,0,0.435,Month-to-month,Mailed check
2273-QCKXA,0,0.0005752175693764051,85248.9,2,1,49.05,0,0,0.5,Month-to-month,Mailed check
0731-EBJQB,0,0.00018170670502769455,112261.2,0,52,20.4,4,1,0.4771428571428571,One year,Electronic check
1891-QRQSA,0,0.00014379018673786067,776178.0,3,64,111.6,2,0,0.5866666666666666,Two year,Bank transfer (automatic)
8028-PNXHQ,0,0.00014379018673786067,168658.75,0,62,24.25,2,0,0.6354545454545456,Two year,Bank transfer (automatic)
5630-AHZIL,0,0.00014379018673786067,448597.5,2,3,64.5,2,0,0.73,Month-to-month,Bank transfer (automatic)
2673-CXQEU,0,0.00014379018673786067,768527.5,2,56,110.5,2,1,0.7418181818181818,One year,Electronic check
6416-JNVRK,0,0.00018170670502769455,306241.95,2,46,55.65,3,0,0.7027272727272728,One year,Credit card (automatic)
5590-ZSKRV,0,0.000195159391055805,280026.6,0,8,54.65,2,1,0.6,Month-to-month,Mailed check
0191-ZHSKZ,0,0.00018170670502769455,411349.25,2,30,74.75,3,0,0.76,Month-to-month,Electronic check
3887-PBQAO,0,0.00014379018673786067,180134.5,0,45,25.9,1,0,0.79,One year,Credit card (automatic)
5919-TMRGD,1,0.997280566799602,79.35,2,1,79.35,1,0,0.82,Month-to-month,Electronic check
8108-UXRQN,0,0.00014379018673786067,351575.25,2,11,50.55,2,0,0.5827272727272728,Month-to-month,Electronic check
9191-MYQKX,1,0.9997842903719671,75.15,0,7,75.15,5,2,0.5816666666666667,Month-to-month,Bank transfer (automatic)
9919-YLNNG,0,0.00014379018673786067,721929.0,1,42,103.8,2,2,0.6875,Month-to-month,Bank transfer (automatic)
0318-ZOPWS,0,0.00014379018673786067,140143.25,0,49,20.15,1,0,0.6414285714285715,Two year,Bank transfer (automatic)
4445-ZJNMU,0,0.00014379018673786067,690631.5,3,9,99.3,1,0,0.6075,Month-to-month,Credit card (automatic)
4808-YNLEU,0,0.00014379018673786067,432253.25,2,35,62.15,2,1,0.5125,One year,Bank transfer (automatic)
1862-QRWPE,0,0.00014379018673786067,143620.75,0,48,20.65,1,1,0.8866666666666667,Two year,Bank transfer (automatic)
2796-NNUFI,0,0.00018170670502769455,109784.84999999999,0,46,19.95,3,0,0.8375,Two year,Mailed check
3016-KSVCP,0,0.00014379018673786067,234731.25,0,29,33.75,2,0,0.7471428571428571,Month-to-month,Mailed check
4767-HZZHQ,0,0.00014379018673786067,570657.75,1,30,82.05,2,0,0.6937500000000001,Month-to-month,Bank transfer (automatic)
2424-WVHPL,0,0.0002743348782854045,272281.5,3,1,74.7,1,1,0.64,Month-to-month,Electronic check
7233-PAHHL,0,0.00018170670502769455,462252.0,2,66,84.0,3,1,0.4809090909090909,Two year,Mailed check
6067-NGCEU,0,0.00014379018673786067,772352.75,3,65,111.05,2,0,0.5911111111111111,Month-to-month,Credit card (automatic)
9848-JQJTX,0,0.00014379018673786067,701759.5,3,72,100.9,1,0,0.6141666666666666,Two year,Bank transfer (automatic)
8637-XJIVR,1,0.9997842903719671,78.95,0,12,78.95,3,1,0.5971428571428571,Month-to-month,Electronic check
9803-FTJCG,0,0.00014379018673786067,464941.74999999994,0,71,66.85,1,0,0.5255555555555556,One year,Credit card (automatic)
0278-YXOOG,1,0.997128607148376,21.05,0,5,21.05,3,0,0.5866666666666667,Month-to-month,Mailed check
3212-KXOCR,0,0.000195159391055805,107604.0,0,52,21.0,2,1,0.8075000000000001,Two year,Bank transfer (automatic)
4598-XLKNJ,1,0.9993808070090912,98.5,0,25,98.5,3,0,0.6666666666666666,Month-to-month,Electronic check
6380-ARCEH,0,0.00021948513940904621,92031.2,0,1,20.2,0,0,0.73,Month-to-month,Mailed check
3679-XASPY,0,0.0035764241680171314,5446.0,0,1,19.45,3,0,0.9,Month-to-month,Electronic check
7123-WQUHX,0,0.000195159391055805,486780.0,2,38,95.0,2,1,0.5599999999999999,One year,Bank transfer (automatic)
5386-THSLQ,0,0.00018170670502769455,250661.65,2,66,45.55,3,1,0.6512500000000001,One year,Bank transfer (automatic)
3192-NQECA,1,0.9997628302629658,110.0,2,68,110.0,4,2,0.6475000000000001,Two year,Bank transfer (automatic)
6180-YBIQI,0,0.000195159391055805,124513.2,0,5,24.3,2,0,0.7999999999999999,Month-to-month,Mailed check
6728-DKUCO,0,0.00014379018673786067,724363.25,1,72,104.15,2,0,0.6125,One year,Electronic check
9750-BOOHV,0,0.00014379018673786067,209693.25,0,32,30.15,2,0,0.5128571428571428,One year,Mailed check
8597-CWYHH,0,0.00014379018673786067,656204.25,3,43,94.35,2,1,0.63,One year,Mailed check
2848-YXSMW,0,0.00020697552072358876,93721.4,2,72,19.4,3,3,0.7466666666666667,Two year,Credit card (automatic)
0486-HECZI,1,0.9994348862350328,96.75,3,55,96.75,6,4,0.5933333333333333,Month-to-month,Electronic check
4549-ZDQYY,0,0.00014379018673786067,403042.25,2,52,57.95,2,0,0.5463636363636364,One year,Credit card (automatic)
5712-AHQNN,0,0.00014379018673786067,637425.75,3,43,91.65,1,0,0.6916666666666668,Month-to-month,Electronic check
4846-WHAFZ,1,0.9993808070090912,76.5,0,37,76.5,3,2,0.6590909090909091,Month-to-month,Electronic check
5256-SKJGO,0,0.00018170670502769455,300463.8,2,64,54.6,5,0,0.4833333333333334,Two year,Electronic check
3071-VBYPO,0,0.00018170670502769455,494444.55,2,3,89.85,3,0,0.5666666666666668,Month-to-month,Electronic check
9560-BBZXK,0,0.000195159391055805,159100.2,0,36,31.05,1,1,0.4775,Two year,Bank transfer (automatic)
5299-RULOA,1,0.999779557049278,100.25,0,10,100.25,4,1,0.7300000000000001,Month-to-month,Electronic check
8402-OOOHJ,0,0.00014379018673786067,143620.75,0,41,20.65,1,0,0.4685714285714286,Two year,Mailed check
9445-ZUEQE,0,0.00022685966992171672,375561.60000000003,2,27,85.2,3,1,0.5185714285714286,Month-to-month,Credit card (automatic)
1091-SOZGA,0,0.00018170670502769455,549199.4,2,56,99.8,4,2,0.7575000000000001,One year,Credit card (automatic)
2928-HLDBA,0,0.00014379018673786067,143968.5,0,6,20.7,2,1,0.8533333333333334,Month-to-month,Mailed check
0404-SWRVG,1,0.9995551293483761,74.4,0,3,74.4,5,3,0.45,Month-to-month,Electronic check
6497-TILVL,0,0.00014379018673786067,352618.5,3,7,50.7,1,1,0.52,Month-to-month,Mailed check
7219-TLZHO,0,0.00018334920799720645,113715.90000000001,2,4,20.85,2,1,0.6875,Month-to-month,Mailed check
4622-YNKIJ,0,0.0001247263119041883,713201.1,3,33,88.95,2,0,0.534,Two year,Electronic check
4412-YLTKF,1,0.999779557049278,78.05,0,27,78.05,8,2,0.7163636363636363,Month-to-month,Electronic check
6734-PSBAW,0,0.00014379018673786067,163790.25,0,72,23.55,1,0,0.5633333333333334,Two year,Bank transfer (automatic)
3930-ZGWVE,0,0.0013440901662631858,14694.0,0,1,19.75,1,0,0.42,Month-to-month,Mailed check
2639-UGMAZ,0,0.00014379018673786067,392609.75,2,71,56.45,2,0,0.6475000000000001,One year,Electronic check
2876-GZYZC,0,0.0001247263119041883,689147.1,2,13,85.95,1,0,0.7000000000000001,Month-to-month,Electronic check
6207-WIOLX,1,0.999779557049278,58.6,0,25,58.6,5,1,0.6845454545454546,Month-to-month,Credit card (automatic)
8587-XYZSF,0,0.00014379018673786067,351575.25,2,67,50.55,1,1,0.47,Two year,Bank transfer (automatic)
3091-FYHKI,1,0.9961894394409404,35.45,0,1,35.45,0,0,0.78,Month-to-month,Electronic check
2372-HWUHI,1,0.9964436849520085,44.35,0,2,44.35,5,1,0.8,Month-to-month,Electronic check
7799-LGRDP,0,0.00014379018673786067,178743.5,0,43,25.7,2,0,0.5011111111111111,Two year,Credit card (automatic)
7850-VWJUU,0,0.00018170670502769455,412725.0,3,23,75.0,3,0,0.5266666666666667,Month-to-month,Bank transfer (automatic)
3774-VBNXY,0,0.00014379018673786067,140491.0,0,64,20.2,2,0,0.6536363636363636,Two year,Mailed check
6217-KDYWC,0,0.0003066145612848911,63915.600000000006,0,57,19.6,1,0,0.725,Two year,Mailed check
0390-DCFDQ,1,0.9990643013549421,70.45,2,1,70.45,4,2,0.81,Month-to-month,Mailed check
3146-MSEGF,0,0.00018170670502769455,484539.14999999997,3,72,88.05,3,1,0.5199999999999999,Two year,Credit card (automatic)
4080-OGPJL,1,0.9997628302629658,71.15,0,8,71.15,6,1,0.6599999999999999,Month-to-month,Electronic check
1095-WGNGG,0,0.00014379018673786067,702802.75,1,61,101.05,1,1,0.7433333333333333,Two year,Bank transfer (automatic)
2636-SJDOU,0,0.00014379018673786067,586306.5,2,64,84.3,2,0,0.5066666666666667,One year,Credit card (automatic)
1131-QQZEB,0,0.00014379018673786067,166572.25,2,71,23.95,2,0,0.7475,Two year,Bank transfer (automatic)
5716-EZXZN,0,0.00022685966992171672,436612.39999999997,0,65,99.05,4,2,0.6583333333333333,Two year,Credit card (automatic)
6837-BJYDQ,0,0.00021928231417378885,89376.0,0,3,19.6,4,0,0.36,One year,Mailed check
2135-RXIHG,1,0.9980127719610915,45.65,0,1,45.65,2,0,0.42,Month-to-month,Electronic check
6440-DKQGE,0,0.00014379018673786067,448597.5,3,30,64.5,2,0,0.577,One year,Credit card (automatic)
3466-BYAVD,0,0.00018170670502769455,382458.5,2,15,69.5,3,2,0.56,Month-to-month,Mailed check
3780-YVMFA,0,0.00014379018673786067,476765.25,3,8,68.55,2,0,0.4712499999999999,Month-to-month,Electronic check
3874-EQOEP,1,0.9997628302629658,95.0,0,7,95.0,7,2,0.7014285714285714,Month-to-month,Mailed check
1679-JRFBR,0,0.00014379018673786067,752183.25,3,70,108.15,1,0,0.4128571428571428,One year,Credit card (automatic)
9073-ZZIAY,0,0.00014379018673786067,598825.5,3,62,86.1,1,0,0.6558333333333334,Two year,Electronic check
3077-RSNTJ,0,0.00014379018673786067,137013.5,0,6,19.7,2,0,0.49,Month-to-month,Mailed check
6551-GNYDG,0,0.00014379018673786067,562659.5,3,14,80.9,2,0,0.5033333333333334,Month-to-month,Bank transfer (automatic)
9167-APMXZ,0,0.00014379018673786067,585263.25,2,22,84.15,2,2,0.55125,Month-to-month,Bank transfer (automatic)
2749-CTKAJ,0,0.00014379018673786067,140143.25,0,22,20.15,1,0,0.5820000000000001,One year,Mailed check
6371-NZYEG,0,0.00014379018673786067,446858.75,3,16,64.25,2,0,0.5242857142857142,Two year,Mailed check
7554-NEWDD,0,0.00014379018673786067,178743.5,0,10,25.7,2,1,0.525,Two year,Bank transfer (automatic)
8992-VONJD,0,0.00018170670502769455,308168.0,2,13,56.0,5,0,0.5616666666666666,Month-to-month,Electronic check
0867-MKZVY,1,0.9993679246464245,82.4,0,20,82.4,2,0,0.607,Month-to-month,Electronic check
4482-EWFMI,0,0.00014379018673786067,484763.5,3,2,69.7,1,0,0.535,Month-to-month,Electronic check
4648-YPBTM,0,0.0001576166053319554,468895.50000000006,1,53,73.9,4,1,0.8533333333333334,Two year,Bank transfer (automatic)
2907-ILJBN,0,0.00014379018673786067,143273.0,0,11,20.6,1,1,0.64,One year,Mailed check
6345-FZOQH,0,0.00014379018673786067,138404.5,0,69,19.9,2,0,0.6845454545454545,Two year,Mailed check
3376-BMGFE,1,0.9992039132759627,70.9,3,4,70.9,5,1,0.62,Month-to-month,Bank transfer (automatic)
5997-OPVFA,0,0.00014379018673786067,619342.75,1,72,89.05,1,1,0.5941666666666667,Two year,Bank transfer (automatic)
3445-HXXGF,1,0.9997132190168585,45.3,0,58,45.3,4,1,0.6366666666666667,Month-to-month,Electronic check
1159-WFSGR,0,0.00018170670502769455,112261.2,0,16,20.4,3,0,0.7172727272727273,Month-to-month,Electronic check
7654-YWJUF,0,0.00014379018673786067,585958.75,1,43,84.25,2,1,0.808,One year,Bank transfer (automatic)
1875-QIVME,1,0.9984788168469652,104.4,2,2,104.4,7,3,0.64,Month-to-month,Electronic check
6727-IOTLZ,0,0.00014379018673786067,569962.25,3,14,81.95,2,0,0.5559999999999999,Two year,Mailed check
0691-JVSYA,1,0.9993679246464245,94.85,0,53,94.85,2,0,0.5572727272727274,One year,Bank transfer (automatic)
5918-VUKWP,0,0.00014379018673786067,142925.25,0,32,20.55,2,1,0.6183333333333333,One year,Bank transfer (automatic)
1744-JHKYS,0,0.00014379018673786067,171788.5,0,34,24.7,1,0,0.7633333333333333,Month-to-month,Electronic check
2656-FMOKZ,1,0.9997132190168585,74.45,2,15,74.45,4,1,0.537,Month-to-month,Mailed check
2070-FNEXE,1,0.9997842903719671,76.45,0,7,76.45,3,2,0.5700000000000001,Month-to-month,Bank transfer (automatic)
5947-SGKCL,0,0.00014379018673786067,732709.25,1,15,105.35,1,0,0.688,Month-to-month,Bank transfer (automatic)
3712-PKXZA,0,0.0016766044469952574,12247.800000000001,0,61,20.55,2,0,0.75,One year,Credit card (automatic)
6317-YPKDH,1,0.999774104201842,29.95,0,1,29.95,6,2,0.7,Month-to-month,Bank transfer (automatic)
6582-OIVSP,0,0.001518395699712994,29852.699999999997,0,1,45.3,2,0,0.71,Month-to-month,Mailed check
9367-WXLCH,1,0.9989911040286673,84.5,3,8,84.5,4,1,0.6616666666666667,Month-to-month,Bank transfer (automatic)
5524-KHNJP,0,0.00014379018673786067,519886.25,2,33,74.75,1,0,0.6227272727272727,One year,Credit card (automatic)
1918-ZBFQJ,1,0.9995176096850568,79.25,0,13,79.25,2,1,0.5533333333333333,Month-to-month,Electronic check
1024-GUALD,1,0.9987883380861411,24.8,0,1,24.8,2,1,0.6,Month-to-month,Electronic check
4827-USJHP,0,0.000195159391055805,265423.2,0,20,51.8,2,1,0.584,Month-to-month,Mailed check
8167-GJLRN,0,0.0001519300605610007,200092.8,0,3,30.4,1,0,0.5166666666666667,Month-to-month,Electronic check
0956-SYCWG,0,0.00014379018673786067,136665.75,0,13,19.65,1,0,0.7357142857142858,One year,Electronic check
8017-UVSZU,0,0.00014379018673786067,393653.0,2,40,56.6,2,1,0.5758333333333333,Month-to-month,Credit card (automatic)
7100-FQPRV,0,0.000195159391055805,368415.60000000003,0,43,71.9,1,0,0.71,One year,Credit card (automatic)
2472-OVKUP,1,0.9997842903719671,91.0,0,6,91.0,5,2,0.576,Month-to-month,Electronic check
2984-RGEYA,0,0.00014379018673786067,137361.25,0,69,19.75,1,0,0.6525,Two year,Bank transfer (automatic)
9680-NIAUV,0,0.00014379018673786067,762963.5,1,72,109.7,1,0,0.5514285714285715,Two year,Credit card (automatic)
2146-EGVDT,0,0.00014379018673786067,134231.5,0,59,19.3,1,0,0.4920000000000001,Two year,Credit card (automatic)
2604-IJPDU,0,0.00014379018673786067,671505.25,3,20,96.55,1,1,0.5233333333333333,Month-to-month,Electronic check
9178-JHUVJ,0,0.00014379018673786067,167615.5,0,24,24.1,2,0,0.7700000000000001,Two year,Bank transfer (automatic)
6168-YBYNP,0,0.00014379018673786067,774439.25,3,59,111.35,2,0,0.6841666666666667,Month-to-month,Electronic check
7255-SSFBC,0,0.00022685966992171672,494798.0,2,72,112.25,3,1,0.41,Two year,Bank transfer (automatic)
3645-DEYGF,0,0.005045271996848639,4108.5,0,1,20.75,0,0,0.51,Month-to-month,Mailed check
9323-HGFWY,0,0.00014379018673786067,708714.5,2,27,101.9,2,1,0.5245454545454545,One year,Credit card (automatic)
8544-GOQSH,0,0.00014379018673786067,556747.75,1,14,80.05,2,1,0.5890909090909091,Month-to-month,Credit card (automatic)
3363-DTIVD,0,0.00014379018673786067,734100.25,2,71,105.55,2,0,0.6254545454545455,Two year,Electronic check
7018-WBJNK,0,0.00014379018673786067,544576.5,1,13,78.3,2,0,0.532,Month-to-month,Credit card (automatic)
9142-KZXOP,0,0.00018170670502769455,378881.55,2,44,68.85,3,1,0.6112500000000001,Month-to-month,Credit card (automatic)
7674-YTAFD,0,0.00014379018673786067,556052.25,2,33,79.95,1,0,0.4925,One year,Bank transfer (automatic)
6348-SNFUS,0,0.00014379018673786067,385654.75,2,72,55.45,1,1,0.616,Two year,Credit card (automatic)
1285-OKIPP,1,0.9915600118780669,79.9,0,1,79.9,1,1,0.78,Month-to-month,Electronic check
7825-ECJRF,1,0.9988913408615654,106.6,0,19,106.6,1,0,0.57,Month-to-month,Electronic check
1347-KTTTA,0,0.000195159391055805,524953.8,0,64,102.45,2,0,0.5425,One year,Credit card (automatic)
7841-TZDMQ,1,0.9995084497494607,46.0,0,2,46.0,3,1,0.69,Month-to-month,Credit card (automatic)
4195-NZGTA,0,0.0007371878825286389,34264.25,0,1,25.25,0,0,0.68,Month-to-month,Electronic check
7157-SMCFK,0,0.00018170670502769455,108684.25,0,61,19.75,3,1,0.448,Two year,Mailed check
4709-LKHYG,0,0.00014379018673786067,139100.0,0,29,20.0,2,0,0.69375,One year,Electronic check
2504-DSHIH,0,0.00014379018673786067,603694.0,3,23,86.8,2,0,0.5144444444444445,Month-to-month,Electronic check
0699-NDKJM,0,0.00014379018673786067,408606.25,2,57,58.75,1,0,0.7109090909090909,Month-to-month,Bank transfer (automatic)
9286-BHDQG,0,0.0001247263119041883,362814.5,2,72,45.25,1,1,0.5791666666666667,Two year,Credit card (automatic)
0230-WEQUW,0,0.00014379018673786067,393653.0,3,66,56.6,1,0,0.8019999999999999,Two year,Bank transfer (automatic)
2040-LDIWQ,0,0.000195159391055805,431440.8,2,65,84.2,1,0,0.76,Two year,Bank transfer (automatic)
6496-JDSSB,0,0.00014379018673786067,556400.0,1,8,80.0,2,1,0.6328571428571428,Month-to-month,Bank transfer (automatic)
9408-SSNVZ,1,0.9997132190168585,70.15,2,4,70.15,4,1,0.5166666666666666,Month-to-month,Electronic check
4443-EMBNA,0,0.00014379018673786067,172136.25,2,71,24.75,1,0,0.6466666666666667,Two year,Bank transfer (automatic)
6469-MRVET,0,0.00022882052205983576,88274.0,0,1,20.2,1,0,0.82,One year,Electronic check
0742-MOABM,1,0.9993679246464245,50.05,0,4,50.05,2,1,0.4875,Month-to-month,Mailed check
5961-VUSRV,0,0.00018170670502769455,106483.05,2,12,19.35,3,1,0.5025,One year,Bank transfer (automatic)
6778-JFCMK,0,0.00014379018673786067,351923.0,2,24,50.6,2,1,0.4933333333333333,One year,Mailed check
6341-JVQGF,0,0.00018170670502769455,446568.45,2,31,81.15,4,1,0.6224999999999999,One year,Mailed check
2232-DMLXU,1,0.9976259259952248,55.2,0,1,55.2,1,0,0.24,Month-to-month,Mailed check
4811-JBUVU,0,0.00014379018673786067,625254.5,1,30,89.9,2,0,0.66,Month-to-month,Credit card (automatic)
0945-TSONX,0,0.00014379018673786067,593261.5,3,47,85.3,1,1,0.6999999999999998,Two year,Credit card (automatic)
2651-ZCBXV,0,0.00014379018673786067,751140.0,2,54,108.0,2,0,0.5455555555555556,Two year,Credit card (automatic)
3316-UWXUY,0,0.0009516522158390784,98268.5,3,50,93.5,2,1,0.526,Month-to-month,Credit card (automatic)
8937-RDTHP,1,0.9984437935773472,84.6,0,1,84.6,1,1,0.21,Month-to-month,Mailed check
7083-MIOPC,0,0.00014379018673786067,140838.75,0,72,20.25,2,1,0.5429999999999999,Two year,Credit card (automatic)
1984-GPTEH,0,0.0007906212909729044,31814.75,0,29,25.15,1,0,0.775,Month-to-month,Electronic check
1251-KRREG,1,0.999145528548363,54.4,0,2,54.4,5,2,0.635,Month-to-month,Mailed check
0621-JFHOL,0,0.00018170670502769455,162888.80000000002,2,10,29.6,3,2,0.6955555555555555,Two year,Mailed check
